City,Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour waiting (Normal Tariff)
Agra,? 100.00,? 35.00,? 185.00
Ahmedabad,? 70.00,? 25.00,? 150.00
Aurangabad,? 50.00,? 25.00,? 100.00
Bangalore,? 100.00,? 30.00,? 150.00
Bhopal,? 65.00,? 30.00,? 150.00
Bhubaneswar,? 100.00,? 20.00,? 200.00
Chandigarh,? 50.00,? 20.00,? 100.00
Chennai,? 100.00,? 25.00,? 100.00
Coimbatore,? 57.50,? 30.00,? 225.00
Dehradun,? 50.00,? 17.50,? 150.00
Delhi,? 50.00,? 25.00,? 100.00
Ernakulam,? 90.00,? 27.50,? 50.00
Faridabad,? 85.00,? 18.64,? 100.00
Ghaziabad,? 50.00,? 13.50,? 250.00
Goa,? 100.00,? 30.00,? 100.00
Greater Noida,? 100.00,? 15.00,? 120.00
Gurgaon,? 100.00,? 20.00,? 160.00
Guwahati,? 90.00,? 27.50,? 100.00
Hyderabad,? 100.00,? 30.00,? 100.00
Indore,? 60.00,? 30.00,? 100.00
Jabalpur,? 150.00,? 22.50,? 125.00
Jaipur,? 100.00,? 25.00,? 125.00
Jamshedpur,? 70.00,? 20.00,? 175.00
Kanpur,? 50.00,? 25.50,? 50.00
Kochi,? 80.00,? 30.00,? 100.00
Kolkata,? 50.00,? 25.00,? 100.00
Kozhikode (Calicut),? 80.00,? 18.00,? 150.00
Lucknow (Lakhnau),? 60.00,? 32.50,? 110.00
Ludhiana,? 125.00,? 21.00,? 160.00
Mangalore,? 45.00,? 31.00,? 120.00
Mumbai,? 29.00,? 30.00,? 100.00
Nagpur,? 100.00,? 20.00,? 200.00
Nashik,? 40.00,? 37.00,? 85.00
Navi Mumbai,? 28.00,? 28.00,? 75.00
Noida,? 90.00,? 22.50,? 150.00
Patna,? 100.00,? 17.50,? 200.00
Pondicherry,? 82.50,? 15.00,? 50.00
Pune,? 50.00,? 30.00,? 120.00
Raipur,? 35.00,? 20.00,? 100.00
Rajkot,? 50.00,? 14.50,? 200.00
Ranchi,? 150.00,? 20.00,? 100.00
Srinagar,? 65.00,? 35.00,? 120.00
Surat,? 50.00,? 20.00,? 90.00
Thane,? 25.00,? 26.00,? 200.00
Thiruvananthapuram,? 100.00,? 27.50,? 150.00
Tiruchirapalli (Trichy),? 80.00,? 23.29,? 100.00
Vadodara,? 50.00,? 15.00,? 100.00
Vijayawada,? 150.00,? 50.00,? 100.00
Visakhapatnam,? 100.00,? 24.00,? 200.00
